Qobs,Precipitation,Peff,Qmean,Qinf_2_5,Qsup_97_5
1.878,0.0,0.0,0.02932015854570617,0.008661510564450792,0.07462056726028374
1.745,0.0,0.0,0.014079109219412462,0.0034559849314739024,0.03948649414252871
1.662,0.0,0.0,0.006460564094683319,0.0012778633706903846,0.021661885836020203
1.622,0.0,0.0,0.002995475454794483,0.0005420752344372345,0.011586965790630094
1.678,4.0,2.2199999999999998,0.001400504247293153,0.00024289508194278844,0.0059233776462347095
2.01,5.2,3.4000000000000004,0.2446529627102211,0.21737197792793836,0.2643851066466818
2.492,9.9,8.07,0.6219472937076318,0.5592705805956303,0.6561581253170854
2.758,0.4,0.0,1.485882449644826,1.3324042187751064,1.5646738166807943
2.16,6.0,4.11,1.4709526453047879,1.2808986140579017,1.622313230021565
2.31,0.0,0.0,1.6260025451225801,1.462390328137596,1.7967440603471514
1.811,0.0,0.0,1.3580109151693462,1.1690314461318814,1.5507676293769417
1.645,0.0,0.0,0.9993139394810641,0.8174457801171087,1.2529320555503476
1.529,0.0,0.0,0.6702146209086555,0.501714035082146,0.8844650460949869
1.432,0.0,0.0,0.42522386645104177,0.29478970187236314,0.6163715815916636
1.409,1.2,0.0,0.2546509785304051,0.15456052991790054,0.4071404765136671
1.386,0.0,0.0,0.14405271311101672,0.07458794627358926,0.2644946618813733
1.352,0.0,0.0,0.07742935870419834,0.03233205139104816,0.15380060945538515
1.299,0.0,0.0,0.0400151552642425,0.013384511273800123,0.09225873559263233
1.243,0.0,0.0,0.019429166728619288,0.00561070368819067,0.05110320638237312
1.17,0.0,0.0,0.009014587882979748,0.002116670050082718,0.026421630226115746
1.123,0.9,0.0,0.004195512174173643,0.0008738470464350796,0.014331486921950002
1.243,3.0,0.6099999999999999,0.0022205723695550004,0.00036490663599914985,0.007263687065372261
1.402,0.0,0.0,0.06790631323664512,0.06325302589414092,0.07283519951151803
1.329,0.0,0.0,0.06346048521076661,0.05437722598646137,0.07310736998277247
1.233,0.0,0.0,0.04454773139337478,0.03369829362201983,0.05548523704057309
1.146,0.0,0.0,0.027742795633545817,0.019707541111961394,0.0389175247345277
1.097,3.4,0.7999999999999998,0.015734385547436253,0.010041802480342166,0.024479567644081067
1.21,0.3,0.0,0.09620869249858097,0.09058766281640834,0.1002350922064377
1.303,2.5,0.0,0.09361679122729562,0.0782393401601866,0.10204725164090568
1.452,0.0,0.0,0.06421153291850559,0.0522474814121836,0.07840644771588709
1.216,0.0,0.0,0.040323019730507524,0.0291726162974822,0.05710795175140734
1.166,3.3,0.5799999999999996,0.023173810408603664,0.015253780916138422,0.03475558097525371
1.323,14.0,11.27,0.0760773310463695,0.07223339362475406,0.07900787296782381
2.376,1.4,0.0,1.3063315142361296,1.1577242121244686,1.406155472647842
3.024,0.0,0.0,1.4245968857328541,1.2089736304493037,1.5729319978071339
3.689,9.1,6.379999999999999,1.1844365807180028,1.0143982637508557,1.3707235244071831
4.154,1.8,0.0,1.558062061454625,1.3912132007357139,1.7115981845784265
4.353,0.0,0.0,1.3747435266874017,1.1717753466143008,1.6063601000312835
3.855,2.0,0.0,1.040572892624743,0.8484425161037947,1.2977021539246516
3.921,3.3,0.48999999999999977,0.7165286888641242,0.554514495805478,0.951021405125947
4.453,0.0,0.0,0.5186563680749644,0.382117269290751,0.7321612160122185
3.954,0.0,0.0,0.3409723194156605,0.2389971711962366,0.537264956600326
3.755,0.0,0.0,0.20823817148343784,0.1310488934776256,0.3494663628136422
3.689,0.0,0.0,0.12048304184286297,0.06627027910550042,0.2066122681934573
3.655,0.7,0.0,0.06539901141977465,0.03051823382397172,0.1262944295175724
2.127,0.0,0.0,0.034121613137527984,0.01336881427520048,0.07363844618151044
0.901,1.0,0.0,0.016997297759540425,0.005540181772070497,0.04491590497592273
0.904,0.0,0.0,0.008140771149206687,0.002248148922819376,0.02300526355822785
0.831,0.0,0.0,0.0038498810893764944,0.0009270623195273057,0.012234655575350226
0.831,0.0,0.0,0.0017837249763729174,0.00039848784094740605,0.0063794867947535635
0.831,0.0,0.0,0.0008576060889089013,0.0001811237588456707,0.003428098185165808
0.831,0.3,0.0,0.0004269994902002971,8.515248901766542e-05,0.0017739382514011615
0.831,0.0,0.0,0.00021329664419269208,3.898783387702352e-05,0.0008338748350366818
0.831,0.0,0.0,0.0001131467891834327,1.8355765072640555e-05,0.000519463718755447
0.784,0.0,0.0,5.775682519745169e-05,8.63229368928444e-06,0.00028557944179799445
0.731,0.0,0.0,3.194413295575193e-05,4.188786135591867e-06,0.00015280210519502267
0.711,0.0,0.0,1.704394693398396e-05,2.006172503534871e-06,8.50093104760294e-05
0.695,0.0,0.0,9.222546113020598e-06,7.769201695125144e-07,4.889621174458359e-05
0.611,0.0,0.0,5.383882001997604e-06,1.949776354930878e-07,2.64266180759745e-05
0.568,0.0,0.0,2.88262301075228e-06,0.0,1.4883558518634322e-05
0.582,0.0,0.0,1.614158378580091e-06,0.0,9.93352713152628e-06
0.568,0.0,0.0,9.004357010013868e-07,0.0,4.8370956660048975e-06
0.555,0.0,0.0,5.061180572302308e-07,0.0,2.8514425996334773e-06
0.565,0.0,0.0,2.8943815071605655e-07,0.0,1.3912651313469144e-06
0.585,0.0,0.0,1.9273739513226876e-07,0.0,9.434865865084639e-07
0.572,0.0,0.0,1.1517037373311457e-07,0.0,6.674829130297583e-07
0.555,0.0,0.0,6.754553584379188e-08,0.0,3.497714856778386e-07
0.515,5.8,2.32,4.0521353729446086e-08,0.0,2.5361186150952254e-07
0.508,1.2,0.0,0.2549563587542027,0.22343080398508844,0.27616973525261723
0.575,6.5,3.0,0.25931645480290916,0.22732733025358576,0.2873662259060812
0.648,0.2,0.0,0.5292227714445942,0.49159639834448793,0.5514928306362394
0.901,0.3,0.0,0.4917746639471684,0.4207747791709392,0.5491890899152423
0.588,5.4,1.9100000000000001,0.3702600679140628,0.2997358135168075,0.4408584916279099
0.515,0.0,0.0,0.4600443024766848,0.4184872227266796,0.5122378324294072
0.495,0.3,0.0,0.38456980561105114,0.3249370445628631,0.4630522006956428
0.482,0.0,0.0,0.2717400642650379,0.21014851778214505,0.3587760486059377
0.465,2.1,0.0,0.17602908903811432,0.12411827019721096,0.24331110661823196
0.452,0.0,0.0,0.10603233481657942,0.06977677502761598,0.16618005801734487
0.435,0.2,0.0,0.05946732129218268,0.0318123735072412,0.10759221986950628
0.425,0.4,0.0,0.03141673545819095,0.013422484684690428,0.06398189966925574
0.425,0.3,0.0,0.016732137734100747,0.006384192372239178,0.03841106984367586
0.472,0.2,0.0,0.007907818689191805,0.0026224279927954627,0.021043821071401396
0.455,6.5,3.12,0.0038034589353981305,0.001097505489292953,0.011491814909496871
0.648,4.2,0.81,0.3446762377789909,0.3063507588853831,0.37192335742876226
0.927,2.7,0.0,0.445222722515715,0.4072932285033243,0.4805421455964166
0.821,0.1,0.0,0.37436239535404914,0.3181768942322101,0.4272045199002302
0.522,1.2,0.0,0.26752064241535073,0.2160504887138907,0.3362172717829957
0.485,0.3,0.0,0.17325916872995614,0.13307939014931133,0.23625072113374976
0.508,2.8,0.0,0.10430088125855298,0.06997291286246946,0.15485179941617994
0.528,11.8,8.280000000000001,0.058922371548458086,0.03378116429576118,0.09696538788243014
0.542,0.2,0.0,0.9409300998479778,0.8592447409227505,1.0022896717906664
0.505,0.0,0.0,1.0085359283670943,0.8881685968398696,1.1020501488926744
0.445,0.0,0.0,0.8255693068412319,0.7153168621029387,0.9440807996351888
0.382,0.0,0.0,0.5880856202346404,0.46891212697795703,0.7390917441905562
0.389,0.0,0.0,0.3861173495391258,0.28530270779009764,0.5114551852600331
0.442,8.8,5.170000000000001,0.2378888299489567,0.15495324317875644,0.35529567489768255
0.502,0.2,0.0,0.7052308324672987,0.6444674097405056,0.7332404847927466
0.455,0.0,0.0,0.6968149841512817,0.6220149329221245,0.7948574877380082
0.472,7.2,3.5700000000000003,0.5425368220841054,0.4372101263474312,0.6449304249328042
0.512,8.5,4.87,0.7673056153180583,0.706236463791209,0.8449384705215981
1.153,5.4,1.7800000000000002,1.211733883367073,1.128904729213423,1.28038208419002
1.253,0.6,0.0,1.3053060032949098,1.1716044843977365,1.4454354324332528
0.994,0.0,0.0,1.0720857487043134,0.9059920155314294,1.2419786642577497
0.628,0.0,0.0,0.7746580619603065,0.6279328531514307,0.988703359414467
0.465,0.2,0.0,0.5161751084348345,0.38182869942785264,0.7050894061884988
0.449,0.0,0.0,0.32317375863292036,0.21279823697160857,0.4847066544745046
0.415,7.3,3.86,0.1897565922879054,0.11293563664516633,0.3328148252331008
0.595,0.0,0.0,0.5292921389075085,0.4821340734082534,0.5855994268566892
0.488,1.1,0.0,0.5128219371677724,0.44151163141066835,0.615233606844525
0.469,0.0,0.0,0.3960582834439701,0.3344127005494132,0.504082592865638
0.415,0.0,0.0,0.2693381005392597,0.20583235722360393,0.36361548809840005
0.385,1.3,0.0,0.1683420151568835,0.11667813998689283,0.24670828185077429
0.425,0.0,0.0,0.09880049686652598,0.06287547302473394,0.1544418417233173
0.409,0.0,0.0,0.05490375581338304,0.027991671431869217,0.0978036985362878
0.382,0.0,0.0,0.028658605223060827,0.012217169050703781,0.05793147517103269
0.346,0.0,0.0,0.01440153209100173,0.00526638506879137,0.03306243162513126
0.349,1.0,0.0,0.006835213638496555,0.0021791551102204854,0.017725981956095732
0.359,3.0,0.0,0.00321370904897179,0.0008566901688031606,0.00918492568175916
0.392,0.0,0.0,0.0015462833710330672,0.00039207341472262636,0.005274038032109954
0.392,0.0,0.0,0.0007465249671571619,0.00017384551380208316,0.002426154517086262
0.359,0.0,0.0,0.0003736884958384753,8.525816838602661e-05,0.001386476643961827
0.349,0.0,0.0,0.00019063814282044606,3.8821863932976136e-05,0.000677767351324208
0.316,0.2,0.0,0.00010050372661203125,1.8332710682042925e-05,0.00041629694082041547
0.309,1.0,0.0,5.362506292803656e-05,8.556074307930256e-06,0.00024928815746292715
0.314,0.0,0.0,2.827669505728033e-05,4.463207612716424e-06,0.00013557672382812614
0.332,0.0,0.0,1.5242849715434212e-05,1.7859586185121489e-06,7.102466985334355e-05
0.329,0.0,0.0,8.305361528440767e-06,8.930395245221436e-07,4.233043188779607e-05
0.304,3.0,0.0,4.474566329731306e-06,1.455069769282895e-07,2.4487319154424048e-05
0.289,0.0,0.0,2.572605743269719e-06,0.0,1.3962236690251792e-05
