mu,lambda,sigma,alpha_levy,beta_levy,nse_best
0.9482214531999997,3.2032482833525933,0.003994380546751464,1.8648013677031803,-0.7923181899208531,0.44806481360019423
0.9495850842822473,3.092458350179007,0.0004533478055332663,1.1034009112775804,-0.6071634820348455,0.4433433690093188
0.9497035855950118,3.285279982443692,0.000294755637105415,1.2527973292532812,-0.5489578987810149,0.45079040398693215
0.9478842471573369,3.3838105649233157,0.004358990197436497,1.8025190129360797,-0.29292079274249794,0.44657350422104725
0.9470669367423097,3.372023333901147,0.0006687268465171204,1.1157496348903535,-0.8850776891290443,0.4457472602028649
0.946939376012988,3.307778096894773,0.004041273727561157,1.2971765196862146,-0.702252213881967,0.44537716384438875
0.9495650180968918,3.247212362166806,0.013603977080282426,1.7729750884482813,-0.5105151109266425,0.44683184629560224
0.9460646027702462,3.1903172942558493,0.0014262498472567221,1.5324247474392476,-0.2284392459872573,0.4454540660722208
0.9482937378845947,3.1958465748394023,0.0018498567899765117,1.3177083596179597,-0.8427545278557674,0.450368828240277
0.9495966801630691,3.318499129321425,0.008527030763418241,1.7001840816661065,-0.06178246735478099,0.4494576870483221
0.9491877134393811,3.3581285365644593,0.011063168658801671,1.8617377538922824,-0.04942131115320725,0.4498328115021819
0.9444355849745966,3.3175861351748135,0.0024544436317071264,1.6746930945465914,-0.8565175352301331,0.44264843697156087
0.949845806522425,3.346650522890145,0.004956676365114443,1.6997454505583145,-0.46887647611319894,0.4504993043831471
0.9390139750866026,2.9002363147596992,0.0001419358984115604,1.148767152137151,-0.3534039979252277,0.4256141769483087
0.9469459274502712,3.357145813095541,3.859894840647638e-05,1.1230554513966406,-0.3812972694443524,0.44611694652888767
0.9488170542275587,3.1804541988985613,0.0016602943220103918,1.6362811556897356,-0.7970064236492207,0.44831117317867075
0.9494564723303813,3.3027768582210553,0.01830987113171668,1.828769683508546,-0.9003289556016247,0.44923187213709226
0.9459353238920707,3.2265574809739324,0.004598416996068811,1.560990553656847,-0.28582819194429443,0.4424066879760076
0.9489491140817097,3.008072664756733,7.084724585592062e-05,1.115533077532946,-0.6705783779340098,0.4399219878024335
0.9473952148982134,3.3413025551471494,0.0012418221796165142,1.1134062078569884,-0.6843565566902647,0.4405817186167845
0.9497993118335146,3.289504407345186,0.0010320673857292628,1.6412848070993071,-0.05586125556654076,0.4511121723629087
0.947902396695284,3.21179679618022,0.00629248800326534,1.2090432380582026,-0.01131294999491761,0.44445524860797603
0.9495768783730247,3.2895943628502073,0.007355213614451917,1.504893990249882,-0.9760835267633428,0.4494314236352699
0.9499153893256749,3.2806926177207822,0.007538470142486953,1.5371891222018625,-0.9566594141999134,0.45005429215435466
0.9466213332257615,3.1958356042139537,0.00927369626102882,1.3580088281344476,-0.9566973478917208,0.4467893178601675
0.945512987073762,3.3510982308423247,0.0038737490435090008,1.1527342434947956,-0.24344462657295796,0.4506478616447911
0.946895500215564,3.193826058329778,0.00561795285121548,1.3967712337549658,-0.2470289776126492,0.44606878031351493
0.9453290792208434,3.208582031416822,0.0033131801260888106,1.3232132460252808,-0.2323501334486826,0.4454113526791291
0.9490516343137864,3.328273967707239,0.02263150221969017,1.5282865264715602,-0.4291525895295393,0.45135434191986834
0.949870910985652,3.309347126993883,0.001141367966252227,1.6517576857301153,-0.9546839216646115,0.45115042985849185
