Date;Precipitation;PET;Flow_(m3/s);Qobs
24/11/1992;9.90;0.58;11.70;3.888
25/11/1992;18.60;0.57;19.70;6.546
26/11/1992;0.10;0.57;26.80;8.906
27/11/1992;6.80;0.57;14.70;4.885
28/11/1992;2.90;0.57;13.30;4.420
29/11/1992;0.30;0.57;12.70;4.220
30/11/1992;5.70;0.56;12.20;4.054
1/12/1992;11.90;0.58;12.00;3.988
2/12/1992;13.60;0.58;24.10;8.009
3/12/1992;12.50;0.58;23.00;7.643
4/12/1992;4.20;0.58;23.60;7.842
5/12/1992;0.60;0.57;16.90;5.616
6/12/1992;21.40;0.57;23.30;7.743
7/12/1992;16.30;0.57;35.00;11.631
8/12/1992;1.50;0.56;32.10;10.667
9/12/1992;2.00;0.56;21.00;6.978
10/12/1992;0.10;0.55;17.80;5.915
11/12/1992;3.90;0.53;15.10;5.018
12/12/1992;0.20;0.52;14.50;4.818
13/12/1992;0.00;0.51;13.00;4.320
14/12/1992;0.00;0.51;11.50;3.822
15/12/1992;2.90;0.50;10.70;3.556
16/12/1992;1.90;0.50;10.80;3.589
17/12/1992;10.60;0.49;10.00;3.323
18/12/1992;15.20;0.49;22.20;7.377
19/12/1992;0.00;0.48;26.00;8.640
20/12/1992;3.10;0.48;14.60;4.852
21/12/1992;0.40;0.47;13.20;4.386
22/12/1992;0.00;0.46;12.10;4.021
23/12/1992;0.00;0.46;10.90;3.622
24/12/1992;0.00;0.46;10.30;3.423
25/12/1992;0.00;0.46;9.80;3.257
26/12/1992;0.00;0.46;9.20;3.057
27/12/1992;0.00;0.46;8.55;2.841
28/12/1992;0.00;0.46;8.05;2.675
29/12/1992;0.00;0.46;7.35;2.442
30/12/1992;0.00;0.46;7.25;2.409
